ppn;identifier
410603783;eur-oai-repub.eur.nl-100016
228055113;
230049753;
343048620;
382719301;
240932072;
338237895;
215703022;
377038555;
217238971;
296408190;
236151118;
239456750;
264575776;
274421119;
287554058;
269245154;
310804981;
254068286;
26460394X;
300900325;
298102129;
24304769X;
397742355;
255745192;
267818653;
396542379;
322909201;
227933184;
216582326;
227760395;
229866522;
37017089X;
380121018;
296080802;
315446293;
234621672;
305139118;
355055694;
358209951;
406521018;
413238385;
245547452;
339847379;
383732484;
213343703;
374747407;
264186958;
246015713;
272597724;
416503128;
270452923;
288985281;
32932196X;
229306217;
213271222;
268254621;
331215322;
395285240;
297528254;
393520536;
255738285;
395508436;
304210331;
318901277;
29103795X;
32500000X;
269706801;
297108050;
318882809;
323590225;
317372904;
270160930;
296356662;
255157444;
308409140;
353249211;
391861999;
333011163;
241349397;
236344439;
298409011;
408060433;
41315680X;
328993298;
417625235;
242079229;
269254870;
297782568;
304960624;
297028332;
238270882;
289045541;
271412704;
397801092;
286818760;
216911729;
405457987;
274787660;
295869321;
236124714;
291528589;
326513256;
317268716;
418017182;
255183623;
24093640X;
244832358;
256330859;
337983453;
269229566;
300908253;
364541350;
406632022;
254977332;
216423600;
242419372;
293027757;
276831063;
273314440;
22710823X;
334625858;
291149987;
323937241;
301852014;
287949303;
217635415;
21586896X;
227299345;
304740292;
237488868;
322141095;
239481461;
417343302;
27377705X;
291018661;
341348295;
392664801;
328838985;
372483615;
324172451;
26348002X;
355190303;
231025882;
235672629;
260312681;
214104818;
287737713;
271548444;
357291557;
287749789;
37704640X;
245827110;
239487036;
235218278;
220365423;
32712329X;
213104415;
298763753;
411910752;
357475917;
245005595;
256110026;
413176207;
215110595;
326920595;
298963493;
329600702;
288410629;
297995405;
276868587;
273870831;
252771494;
341233560;
237993287;
291151213;
375216030;
260095656;
296167746;
217633676;
24005623X;
262672324;
241743893;
276815882;
331852241;
229523811;
279950101;
262909340;
395986397;
263452654;
28480827X;
40507607X;
357301013;
274737426;
321284259;
409811777;
300145543;
321284771;
256541760;
238693066;
217529976;
327113901;
397924194;
250188767;
320314200;
314117199;
243380321;
250192403;
32132806X;
413889025;
401740765;
372696279;
329318551;
227912128;
353789917;
234805897;
294962832;
297399845;
271622059;
314115943;
392062356;
239443365;
357141504;
264603109;
31896323X;
216796776;
342945041;
277159342;
32062238X;
352770147;
270254803;
290464161;
327524545;
229931022;
341211133;
330029061;
392695871;
212930214;
343313677;
256307334;
370350162;
330611224;
271405139;
315738731;
411290126;
417343523;
400409429;
316172367;
322132738;
270476539;
353783366;
341325112;
242309836;
267645902;
304407968;
318854988;
240539222;
24245111X;
395258308;
26160516X;
24916129X;
236669559;
275884821;
294685901;
270108114;
305090941;
338554904;
239491726;
329685651;
243049145;
291411606;
328960454;
252777808;
245814744;
35560115X;
310637791;
239018427;
403874785;
330669133;
250204487;
323446582;
356611310;
274376903;
364127708;
294239731;
262029898;
336383126;
281937648;
266970249;
372474268;
28795109X;
217258476;
402238362;
238749363;
280593449;
387621873;
29451533X;
289005183;
27134072X;
407630988;
331560917;
41032888X;
256956707;
324990847;
391755226;
241425956;
357280938;
281938598;
339163070;
315438304;
262822946;
409126322;
270092250;
288214498;
252355520;
263458881;
297371584;
357365860;
244148961;
24135658X;
352082895;
273314513;
271427493;
231381948;
382622995;
271291036;
382261348;
238135462;
277908159;
305977644;
26940970X;
240520823;
413236552;
22933119X;
254935893;
408138483;
41093173X;
342093916;
353734020;
329489399;
290431093;
306032376;
300925956;
408311762;
328056170;
238916871;
240548124;
39703914X;
305333674;
289016509;
401542602;
363962123;
218060750;
370798007;
245537112;
267568231;
217036880;
369514653;
300926227;
382786580;
398018162;
377040061;
230181139;
228054095;
231025920;
345596005;
318101769;
32262858X;
275395189;
382941314;
403920450;
262857146;
295843179;
271325437;
